age,sex,race,educ,state,weight
45-65,Male,White,No college degree,WV,3
45-65,Male,White,No college degree,WV,4
30-44,Female,White,No college degree,WV,6
65+,Female,White,College graduate,WV,17
65+,Female,White,No college degree,WV,23
45-65,Male,White,College graduate,WV,26
45-65,Female,Other,No college degree,WV,24
30-44,Male,White,College graduate,WV,22
45-65,Female,White,No college degree,WV,16
18-29,Male,White,No college degree,WV,33
45-65,Male,White,College graduate,WV,35
30-44,Female,White,No college degree,WV,34
65+,Female,White,College graduate,WV,14
30-44,Male,White,College graduate,WV,26
18-29,Female,White,College graduate,WV,33
65+,Female,White,College graduate,WV,19
45-65,Male,White,No college degree,WV,22
45-65,Female,White,No college degree,WV,25
30-44,Female,Other,No college degree,WV,10
30-44,Male,White,College graduate,WV,29
18-29,Male,Other,No college degree,WV,13
18-29,Male,Other,College graduate,WV,13
18-29,Female,Other,College graduate,WV,14
45-65,Female,White,College graduate,WV,14
30-44,Female,White,No college degree,WV,22
30-44,Male,White,No college degree,WV,21
45-65,Male,White,College graduate,WV,25
30-44,Female,White,College graduate,WV,25
18-29,Male,White,College graduate,WV,27
45-65,Male,White,No college degree,WV,14
45-65,Female,White,No college degree,WV,14
30-44,Female,White,College graduate,WV,36
65+,Male,White,College graduate,WV,15
45-65,Female,White,College graduate,WV,13
45-65,Male,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,18
18-29,Male,White,College graduate,WV,1
65+,Female,White,College graduate,WV,19
30-44,Male,White,No college degree,WV,49
45-65,Male,White,College graduate,WV,26
45-65,Female,White,College graduate,WV,25
18-29,Male,White,College graduate,WV,50
30-44,Male,White,No college degree,WV,19
65+,Female,White,College graduate,WV,25
65+,Female,White,College graduate,WV,11
45-65,Male,White,College graduate,WV,56
45-65,Female,White,College graduate,WV,52
30-44,Male,White,College graduate,WV,23
18-29,Female,Black,No college degree,WV,11
30-44,Male,Black,College graduate,WV,22
45-65,Female,White,College graduate,WV,17
65+,Female,White,No college degree,WV,19
65+,Female,White,No college degree,WV,21
30-44,Male,White,No college degree,WV,31
30-44,Female,White,No college degree,WV,25
30-44,Male,White,No college degree,WV,16
30-44,Female,White,No college degree,WV,12
45-65,Female,White,College graduate,WV,10
45-65,Female,White,No college degree,WV,25
45-65,Male,White,College graduate,WV,12
45-65,Female,White,No college degree,WV,18
18-29,Female,White,College graduate,WV,18
45-65,Male,White,No college degree,WV,12
45-65,Female,White,No college degree,WV,17
45-65,Male,White,College graduate,WV,3
45-65,Female,White,College graduate,WV,3
45-65,Male,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,17
65+,Female,White,College graduate,WV,15
45-65,Male,White,No college degree,WV,9
30-44,Female,White,No college degree,WV,9
65+,Female,White,College graduate,WV,26
65+,Male,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,8
65+,Male,White,College graduate,WV,22
65+,Female,White,College graduate,WV,20
45-65,Male,White,College graduate,WV,28
45-65,Female,White,College graduate,WV,17
45-65,Male,White,No college degree,WV,28
30-44,Female,White,College graduate,WV,48
45-65,Male,White,College graduate,WV,40
18-29,Female,White,College graduate,WV,50
65+,Female,White,College graduate,WV,8
65+,Female,White,College graduate,WV,12
45-65,Male,White,College graduate,WV,18
45-65,Female,White,No college degree,WV,22
45-65,Female,White,College graduate,WV,22
45-65,Male,White,College graduate,WV,22
45-65,Female,White,College graduate,WV,33
45-65,Male,White,College graduate,WV,33
30-44,Female,White,No college degree,WV,48
30-44,Female,White,College graduate,WV,19
30-44,Male,White,College graduate,WV,20
45-65,Female,White,College graduate,WV,62
45-65,Male,White,College graduate,WV,66
18-29,Male,White,No college degree,WV,30
18-29,Female,White,No college degree,WV,27
18-29,Male,White,No college degree,WV,41
45-65,Female,White,No college degree,WV,8
45-65,Male,White,College graduate,WV,21
18-29,Female,Black,College graduate,WV,31
65+,Female,Black,College graduate,WV,33
45-65,Male,White,No college degree,WV,19
45-65,Female,White,No college degree,WV,17
45-65,Male,White,No college degree,WV,14
45-65,Female,White,College graduate,WV,13
45-65,Male,White,College graduate,WV,36
30-44,Female,White,No college degree,WV,31
18-29,Male,White,No college degree,WV,33
45-65,Female,White,No college degree,WV,4
18-29,Male,White,No college degree,WV,24
18-29,Female,White,College graduate,WV,5
18-29,Male,White,No college degree,WV,7
18-29,Male,White,College graduate,WV,6
65+,Female,White,College graduate,WV,44
65+,Male,White,College graduate,WV,33
45-65,Male,White,No college degree,WV,16
30-44,Female,White,No college degree,WV,16
45-65,Male,White,No college degree,WV,26
45-65,Male,White,No college degree,WV,6
45-65,Female,White,College graduate,WV,6
18-29,Male,White,College graduate,WV,5
65+,Male,White,No college degree,WV,13
45-65,Female,White,College graduate,WV,15
45-65,Male,White,College graduate,WV,39
18-29,Male,White,No college degree,WV,26
18-29,Male,White,No college degree,WV,29
65+,Female,White,College graduate,WV,8
65+,Female,Other,College graduate,WV,14
18-29,Male,White,College graduate,WV,4
65+,Male,White,No college degree,WV,20
65+,Female,White,College graduate,WV,19
30-44,Female,White,College graduate,WV,25
45-65,Male,White,College graduate,WV,19
45-65,Female,White,College graduate,WV,19
18-29,Male,White,College graduate,WV,53
30-44,Male,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,21
30-44,Female,White,No college degree,WV,21
30-44,Male,White,No college degree,WV,21
45-65,Male,White,College graduate,WV,14
45-65,Female,White,College graduate,WV,14
45-65,Male,White,No college degree,WV,14
45-65,Female,White,No college degree,WV,14
18-29,Female,White,College graduate,WV,21
45-65,Female,White,No college degree,WV,19
45-65,Male,White,College graduate,WV,15
45-65,Female,White,No college degree,WV,15
65+,Female,White,College graduate,WV,18
30-44,Female,White,College graduate,WV,14
45-65,Male,White,College graduate,WV,11
18-29,Female,White,College graduate,WV,9
18-29,Male,White,College graduate,WV,37
18-29,Female,White,No college degree,WV,21
30-44,Male,White,No college degree,WV,18
65+,Male,White,No college degree,WV,14
65+,Female,White,College graduate,WV,17
45-65,Male,White,College graduate,WV,18
45-65,Female,White,No college degree,WV,18
45-65,Female,White,College graduate,WV,10
30-44,Male,White,College graduate,WV,33
45-65,Female,White,No college degree,WV,15
45-65,Male,White,No college degree,WV,21
65+,Female,White,No college degree,WV,3
30-44,Female,White,No college degree,WV,29
30-44,Male,White,No college degree,WV,30
18-29,Male,White,No college degree,WV,24
65+,Female,White,College graduate,WV,17
45-65,Male,White,No college degree,WV,18
45-65,Female,White,No college degree,WV,19
45-65,Female,White,College graduate,WV,9
65+,Male,White,No college degree,WV,12
65+,Female,White,College graduate,WV,12
45-65,Male,White,College graduate,WV,4
30-44,Male,White,College graduate,WV,18
30-44,Female,White,College graduate,WV,16
45-65,Male,White,No college degree,WV,13
65+,Female,White,College graduate,WV,8
65+,Female,White,College graduate,WV,26
45-65,Male,White,College graduate,WV,5
45-65,Female,White,College graduate,WV,4
45-65,Female,White,No college degree,WV,7
30-44,Male,White,College graduate,WV,4
65+,Male,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,26
45-65,Male,White,College graduate,WV,26
45-65,Female,White,No college degree,WV,18
45-65,Male,White,No college degree,WV,17
65+,Female,Other,College graduate,WV,3
18-29,Female,White,No college degree,WV,27
65+,Male,White,No college degree,WV,13
65+,Female,White,College graduate,WV,21
65+,Female,White,College graduate,WV,17
65+,Female,White,College graduate,WV,15
65+,Male,White,College graduate,WV,13
30-44,Female,White,No college degree,WV,14
30-44,Male,White,No college degree,WV,13
45-65,Female,White,College graduate,WV,39
45-65,Male,White,No college degree,WV,39
30-44,Female,White,No college degree,WV,19
30-44,Male,White,No college degree,WV,19
18-29,Female,White,No college degree,WV,22
18-29,Female,White,No college degree,WV,52
18-29,Female,White,No college degree,WV,11
18-29,Male,White,College graduate,WV,16
45-65,Female,White,College graduate,WV,15
65+,Male,White,College graduate,WV,17
65+,Female,White,College graduate,WV,18
45-65,Female,White,College graduate,WV,17
45-65,Male,White,No college degree,WV,19
65+,Male,White,College graduate,WV,18
45-65,Female,White,College graduate,WV,16
45-65,Male,White,No college degree,WV,6
45-65,Female,White,No college degree,WV,6
30-44,Female,White,No college degree,WV,26
30-44,Male,White,No college degree,WV,28
45-65,Female,White,College graduate,WV,12
45-65,Male,White,No college degree,WV,13
65+,Male,White,College graduate,WV,14
65+,Female,White,College graduate,WV,10
45-65,Male,White,College graduate,WV,16
65+,Female,White,College graduate,WV,16
18-29,Male,White,No college degree,WV,17
18-29,Female,White,College graduate,WV,15
30-44,Male,White,No college degree,WV,20
30-44,Female,White,College graduate,WV,20
65+,Female,White,College graduate,WV,23
65+,Female,White,College graduate,WV,5
65+,Male,White,College graduate,WV,14
65+,Female,White,College graduate,WV,17
45-65,Male,White,College graduate,WV,6
30-44,Female,White,College graduate,WV,5
30-44,Male,White,College graduate,WV,5
18-29,Male,White,College graduate,WV,27
18-29,Female,White,College graduate,WV,12
30-44,Male,White,No college degree,WV,5
30-44,Female,White,No college degree,WV,7
30-44,Male,White,College graduate,WV,5
30-44,Female,White,No college degree,WV,4
