state,dem_votes,total_votes,rep_votes,dem_share,rep_share
DC,245800,265853,17367,0.9245710975614343,0.06532557465968035
HI,325871,456064,120566,0.7145291011787819,0.2643620193657031
VT,219262,325046,98974,0.6745568319560924,0.30449228724549754
RI,296571,471766,165391,0.6286400461245617,0.35057846474735355
DE,255459,412412,152374,0.6194266898150393,0.36947033548975294
MD,1629467,2631596,959862,0.6191934476264593,0.364745196451127
IL,3419348,5522371,2031179,0.6191811452001323,0.36780922542147204
MA,1904097,3102995,1108854,0.6136319910280229,0.3573495928933176
CA,8274473,13561900,5011781,0.6101263834713425,0.36954858832464477
CT,997772,1646792,629428,0.6058882967612181,0.3822146330562694
NY,4645332,7722019,2418323,0.6015696154075767,0.313172371111752
ME,421923,731163,295273,0.5770573729797597,0.40384018337908234
WA,1750848,3036878,1229216,0.5765289221364835,0.40476304942114893
MI,2872579,5001596,2048639,0.5743324730745946,0.40959705661952706
NJ,2215422,3868237,1613207,0.5727213715188599,0.4170393385927491
NM,472422,830158,346832,0.5690748026279335,0.4177903483433274
OR,1037291,1827864,738475,0.5674880625692065,0.40400981692292204
WI,1677211,2983417,1262393,0.5621778651794235,0.4231366248834809
NV,533736,967848,412827,0.551466759243187,0.42654115108984053
PA,3276363,6013272,2655885,0.5448552801203738,0.4416705247991443
NH,384826,710970,316534,0.5412689705613458,0.44521428470962204
MN,1573354,2910369,1275409,0.5406029269827984,0.43822931044139074
IA,828940,1537123,682379,0.5392802007386527,0.4439325935530208
CO,1288576,2401361,1073589,0.5366023684069159,0.4470752210933716
VA,1959532,3723260,1725005,0.5262946987317566,0.46330500690255316
OH,2940044,5708350,2677820,0.5150427006052537,0.4691057836327485
FL,4282074,8390744,4045624,0.5103330527066491,0.4821531916597622
IN,1374039,2751054,1345648,0.4994591163968428,0.4891390717884854
NC,2142651,4310851,2128474,0.49703666399047425,0.49374798618648613
MO,1441911,2925205,1445814,0.49292647865705136,0.49426074411878823
MT,231667,490109,242763,0.4726846477008176,0.495324509445858
GA,1844123,3924486,2048759,0.46990179096065066,0.5220451799292952
AZ,1034707,2293475,1230111,0.4511525087476428,0.5363524782262724
SC,862449,1920969,1034896,0.4489656001736624,0.5387364397863786
SD,170924,381975,203054,0.44747431114601743,0.5315897637279927
ND,141278,316621,168601,0.44620540014717913,0.5325010027761898
TX,3528633,8077795,4479328,0.4368312144588963,0.5545236045232641
MS,554662,1289865,724597,0.43001554426238403,0.5617618898101739
WV,303857,713451,397466,0.42589750382296754,0.5571034310695478
TN,1087437,2599749,1479178,0.4182853806271298,0.5689695428289423
KS,514765,1235872,699655,0.41651967194013617,0.5661225434349189
NE,333319,801281,452979,0.415982657769247,0.5653185336979162
KY,751985,1826620,1048462,0.4116811378392879,0.5739902114287592
LA,782989,1960761,1148275,0.3993291380234511,0.5856272131075638
AR,422310,1086617,638017,0.3886465976512423,0.5871590449992959
AL,813479,2099819,1266546,0.38740434294574916,0.603169130291706
AK,123594,326197,193841,0.37889373599389325,0.5942451953880631
ID,236440,655122,403012,0.3609098763283785,0.6151709147303861
UT,327670,952370,596030,0.3440574566607516,0.6258386971450172
OK,502496,1462661,960165,0.343549188773065,0.656450811226935
WY,82868,254904,164958,0.32509493770203685,0.6471377459749553
