state,dem_votes,total_votes,rep_votes,dem_share,rep_share
DC,317323,344356,18586,0.9214969392140692,0.05397321376714795
VT,242820,370968,112704,0.6545578055250049,0.3038105712622113
MD,1985023,3037030,976414,0.6536066486007711,0.32150291567748757
MA,2382202,3658005,1167202,0.6512298370286536,0.3190815758863096
CA,11110250,17500881,6006429,0.6348394689387351,0.3432072362528492
HI,366130,579784,196864,0.6314937976901742,0.3395471416941482
NY,5230985,8661735,3244798,0.603918845358349,0.3746129384009093
RI,307486,516990,199922,0.5947619876593357,0.38670380471575855
CT,1080831,1823857,714717,0.5926073151568352,0.3918711828833072
DE,296268,504346,200603,0.5874300579364167,0.3977487677110555
WA,2369612,4087631,1584651,0.5797030113530306,0.3876697774334327
IL,3471915,6033743,2446891,0.5754164537667581,0.40553450818173725
NJ,2608335,4549353,1883274,0.5733419675281298,0.41396523857348505
OR,1340383,2374321,958448,0.5645331865404888,0.4036724604634335
CO,1804352,3279980,1364607,0.5501106714065329,0.4160412563491241
NM,501614,923965,401894,0.5428928584957222,0.43496669246129455
VA,2413568,4460524,1962430,0.5410951717780242,0.4399550366728214
NH,424921,806182,365654,0.5270782528014766,0.45356259504677604
ME,435072,828305,360737,0.5252557934577239,0.43551228110418266
MN,1717077,3277171,1484065,0.5239509930974001,0.4528494240916937
MI,2804040,5539302,2649852,0.5062081829082437,0.4783729069113762
NV,703486,1405376,669890,0.5005678195728402,0.4766624732455941
PA,3458229,6915283,3377674,0.5000849567544814,0.4884361204017247
GA,2473633,4999960,2461854,0.49473055784446274,0.492374738997912
WI,1630866,3298041,1610184,0.4944953686142774,0.48822437319608825
AZ,1672143,3387326,1661686,0.49364690614366613,0.4905598103046474
NC,2684292,5524802,2758773,0.4858621177736324,0.4993433248829551
FL,5297045,11067456,5668731,0.47861450725442234,0.5121981962250404
TX,5259126,11315056,5890347,0.4647900991387051,0.5205760360355265
OH,2679165,5922202,3154834,0.45239338340705026,0.5327130010087464
IA,759061,1700130,897672,0.4464723285866375,0.5280019763194579
SC,1091541,2514096,1385103,0.43416838497813925,0.5509348091719648
AK,153778,359530,189951,0.42771952271020497,0.5283314327038078
KS,570323,1372303,771406,0.41559553538832167,0.5621251283426474
MO,1253014,3025962,1718736,0.4140878173618836,0.5679965577888949
MS,539398,1313759,756764,0.41057606455978607,0.5760295457538255
IN,1242416,3033118,1729519,0.4096167705971215,0.5702115776570512
MT,244786,603674,343602,0.4054936936160908,0.5691846924002028
LA,856034,2148062,1255776,0.39851456801526214,0.5846088241400853
NE,374583,956383,556846,0.39166630941787967,0.5822416333205421
UT,560282,1488289,865140,0.37646048583306063,0.5812983902991959
TN,1143711,3053851,1852475,0.37451434271023704,0.6066029416628381
AL,849624,2323282,1441170,0.36569990212122333,0.620316431668648
KY,772474,2136768,1326646,0.3615151481115404,0.6208657186929044
SD,150471,422609,261043,0.3560525213613529,0.6176938967225024
AR,423932,1219069,760647,0.34775061953014963,0.6239572985614432
ID,287021,868014,554119,0.33066402154803953,0.6383756483190364
OK,503890,1560699,1020280,0.32286174335986634,0.6537327184806295
ND,114902,361819,235595,0.31756762359080093,0.6511404873707572
WV,235984,794652,545382,0.29696521244519614,0.6863155192461606
WY,73491,278503,193559,0.26387866557990397,0.6949978994840271
