state,dem_votes,total_votes,rep_votes,dem_share,rep_share
DC,202970,227586,21256,0.8918386895503239,0.09339766066454
MA,1803800,2927455,1071109,0.616166602048537,0.3658840187124994
RI,259760,437134,169046,0.5942342622628302,0.3867143713369356
VT,184067,312309,121180,0.5893746257712714,0.38801315363950445
NY,4180755,7448266,2806993,0.5613058126549186,0.376865299923499
MD,1334500,2384238,1024703,0.5597176120840285,0.4297821777859425
IL,2891550,5274322,2345946,0.5482316020902781,0.4447862682634849
CT,857488,1578769,693826,0.543137089719902,0.4394727791082799
CA,6745485,12421353,5509826,0.5430555753467436,0.44357695977241773
HI,231708,429013,194191,0.5400955215809311,0.45264595711551864
ME,396842,740752,330201,0.5357285569259347,0.44576457437846945
DE,200152,375190,171660,0.5334683760228152,0.4575281857192356
NJ,1911430,3611691,1670003,0.5292340900702746,0.4623881168128724
WA,1510201,2859084,1304894,0.5282114831183694,0.45640281992414355
OR,943163,1836782,866831,0.5134866304221187,0.47192916742433233
MI,2479183,4839252,2313746,0.5123070672905647,0.4781205855781017
PA,2938095,5769590,2793847,0.5092380914415062,0.484236661530542
NH,340511,678287,331237,0.5020161082255741,0.4883434298460681
WI,1489504,2997007,1478120,0.49699717084411216,0.49319871458425024
IA,741898,1506908,751957,0.4923313168421695,0.4990065750530225
NM,370942,756304,376930,0.490466796420487,0.498384247604138
OH,2741165,5627903,2859764,0.48706685243153625,0.508140243355296
NV,397190,829587,418690,0.4787804051895702,0.504696915453111
FL,3583544,7609810,3964522,0.4709111002771423,0.5209751623233695
CO,1001732,2129630,1101255,0.47037842254288303,0.5171109535459211
MO,1259171,2731364,1455713,0.46100446516831883,0.5329619193926551
VA,1454742,3195415,1716959,0.4552591760381672,0.5373195656902156
AR,469953,1054945,572898,0.44547630445189085,0.5430595907843537
AZ,893524,2012585,1104294,0.44396832928795554,0.5486943408601376
NC,1525849,3501007,1961166,0.435831462205017,0.5601719733779452
WV,326541,755792,423778,0.43205141097021404,0.5607071786946674
TN,1036477,2437319,1384375,0.4252529110879618,0.5679908949136325
LA,820299,1943106,1102169,0.4221586470321228,0.5672202134108999
GA,1366149,3301875,1914254,0.41374946053378764,0.5797475676698846
SC,661669,1617700,937974,0.40901835939914694,0.5798194968164678
MS,457766,1139824,672660,0.40161112592821346,0.5901437414899142
KY,712733,1795882,1069439,0.39687072981409693,0.5954951383220055
IN,969011,2468002,1479438,0.39262974665336575,0.5994476503665718
MT,173710,450434,266063,0.3856502839483698,0.5906814316858852
SD,149244,388215,232584,0.38443645917854796,0.5991113171824891
TX,2832704,7410749,4526917,0.3822426046274135,0.6108582276906154
AL,693933,1883415,1176394,0.36844402322377173,0.6246068975770077
KS,434993,1187756,736456,0.3662309430556444,0.620039806155473
AK,111025,312598,190889,0.35516861912104364,0.6106532991253942
ND,111052,312833,196651,0.3549881246543683,0.6286133496146507
OK,503966,1463758,959792,0.3442959833524394,0.6557040166475606
NE,254328,778186,512814,0.3268216082016382,0.6589864119889075
ID,181098,598376,409235,0.3026491704212736,0.6839094482399026
WY,70776,243861,167629,0.2902309102316484,0.6873956885274808
UT,241199,927844,663742,0.25995641508701894,0.7153594785330293
