state_abbr,actual_dem,rep_share,predicted_dem,lower_95,median,upper_95,actual_scaled,abs_error,squared_error,exit_poll_conducted
AL,0.341,64.57,0.387276472161619,0.3563097395575839,0.38705987960863464,0.4205023542480204,0.341,0.04627647216161895,0.002141511875725094,FALSE
AK,0.41409999999999997,54.54,0.3401761116787272,0.2887162754403854,0.3393995363827186,0.3968097863479042,0.41409999999999997,0.07392388832127278,0.00546474126453601,FALSE
AZ,0.4669,52.22,0.4429198323408616,0.4375193107300986,0.4430058679072095,0.4481336524767521,0.4669,0.023980167659138407,5.750484409603875e-4,TRUE
AR,0.3356,64.2,0.31860584503968903,0.274591354721533,0.31936922854599514,0.3622403134465407,0.3356,0.01699415496031098,2.888013028150623e-4,FALSE
CA,0.5847,38.33,0.6313995119922369,0.6149553828314996,0.631669800516472,0.6482214649180983,0.5847,0.046699511992236875,0.0021808444203130755,FALSE
CO,0.5413,43.14,0.5170490413964802,0.4958932533805776,0.5174108585965645,0.5387502017644867,0.5413,0.02425095860351978,5.8810899318963e-4,FALSE
CT,0.564,41.89,0.5816877521321292,0.5399869759051453,0.5819122998066952,0.6206574798389166,0.564,0.017687752132129253,3.128565754876429e-4,FALSE
DE,0.5649000000000001,41.79,0.6053698484896898,0.5323926290755487,0.604210122834546,0.6802917905385906,0.5649000000000001,0.04046984848968971,0.0016378086367784405,FALSE
FL,0.4299,56.09,0.4696720959938688,0.46657356884151074,0.46970084229389286,0.4725604135454907,0.4299,0.03977209599386877,0.0015818196197455124,TRUE
GA,0.4853,50.72,0.5535813865371264,0.5495298704171974,0.5535607269234285,0.5573533934432747,0.4853,0.0682813865371264,0.0046623477474324665,TRUE
HI,0.6059,37.48,0.6060305461385663,0.5233394561968765,0.60733027180648,0.6854437988076231,0.6059,1.3054613856633424e-4,1.704229429458054e-8,FALSE
ID,0.3038,66.87,0.246620684025017,0.18723833058648617,0.24569345460135827,0.3130230999288299,0.3038,0.05717931597498302,0.0032694741753669485,FALSE
IL,0.5437,43.47,0.5751276107105636,0.5576664903655882,0.5748330015179195,0.5924484243109384,0.5437,0.03142761071056366,9.876947149747356e-4,FALSE
IN,0.3962,58.58,0.34367733266925754,0.32280806033382686,0.34405155930822295,0.36348534521242065,0.3962,0.052522667330742456,0.002758630583535841,FALSE
IA,0.4252,55.73,0.3535371150636151,0.33823961191688284,0.35353962380122117,0.3696359680975589,0.4252,0.0716628849363849,0.005135569077405542,FALSE
KS,0.4104,57.16,0.3448262403897977,0.3175910531983477,0.34455461710679286,0.3739950995746775,0.4104,0.06557375961020229,0.004299917949416597,FALSE
KY,0.3394,64.47,0.29217275293231426,0.2577329345378805,0.2918636628193332,0.32546836852471395,0.3394,0.04722724706768572,0.002230412865592229,FALSE
LA,0.3821,60.22,0.4396705594110723,0.41063038203331176,0.4393866942307379,0.465965424544534,0.3821,0.05757055941107231,0.0033143693109038063,FALSE
MD,0.6262,34.08,0.7062493096748418,0.6691485082865251,0.7056591902605054,0.7421155994055956,0.6262,0.0800493096748418,0.006407891979418722,FALSE
MA,0.6122,36.02,0.63176789586261,0.5911306320263122,0.6315862146948272,0.671110088948087,0.6122,0.019567895862609985,3.82902548489949e-4,FALSE
MI,0.48310000000000003,49.73,0.4690984146729638,0.4628443036922188,0.46902961413809274,0.4750334552372508,0.48310000000000003,0.014001585327036215,1.960443916702758e-4,TRUE
MN,0.5092,46.68,0.46871453057377366,0.45415330908524376,0.4685606548921995,0.4821786642644604,0.5092,0.04048546942622633,0.0016390732346619067,FALSE
MS,0.38,60.89,0.4753677013123145,0.447661406064121,0.4752760061074795,0.5034696339792997,0.38,0.09536770131231448,0.009094998453594828,FALSE
MO,0.4008,58.49,0.358999520966997,0.33982138241015936,0.3591784605209922,0.3785757809700029,0.4008,0.04180047903300299,0.0017472800473885227,FALSE
MT,0.3846,58.39,0.30064537530345686,0.25251802052800487,0.29991457846168224,0.35807174882434384,0.3846,0.08395462469654313,0.007048379007937411,FALSE
NV,0.47490000000000004,50.59,0.46595491596819694,0.45672197979523377,0.46598532258804576,0.4757457372514563,0.47490000000000004,0.008945084031803108,8.001452833601895e-5,TRUE
NH,0.5065,47.87,0.4474630241392673,0.4175717900523171,0.44724099014216945,0.4758144368055266,0.5065,0.05903697586073264,0.003485364518780729,FALSE
NJ,0.5196999999999999,46.06,0.5830632422471748,0.5626616137142991,0.5826453467512178,0.6042299690818561,0.5196999999999999,0.06336324224717482,0.00401490046807416,FALSE
NM,0.5185,45.85,0.5098449018127036,0.4759773058166832,0.5099437485480711,0.5430920005935157,0.5185,0.008655098187296373,7.491072463174096e-5,FALSE
NY,0.5590999999999999,43.31,0.6142587794871497,0.5947627129782236,0.6146379490297256,0.6307181362698212,0.5590999999999999,0.055158779487149756,0.0030424909545120125,FALSE
