state_abbr,dem_votes,total_votes,rep_votes,actual_dem,rep_share,predicted_dem,lower_95,median,upper_95,actual_scaled,abs_error,squared_error,exit_poll_conducted
HI,306658,437159,121015,0.7014793244563191,0.2768214768539593,0.7732153112759805,0.7616079466672004,0.773223946691925,0.784451683538785,0.7014793244563191,0.07173598681966142,0.005146051804990637,FALSE
VT,199239,299290,92698,0.665705503,0.3097263523672692,0.599284411935066,0.580924012028995,0.5991053597534488,0.6188952610001355,0.665705503,0.06642109106493399,0.004411761338256254,TRUE
RI,279677,446049,157204,0.627009589,0.35243661570813967,0.5934993549611552,0.5815725847353778,0.593433545093513,0.6048529836175458,0.627009589,0.03351023403884479,0.001122935785338152,FALSE
MD,1677844,2707327,971869,0.6197419077931849,0.3589773233894539,0.6838100769299259,0.6801284737932466,0.6838193488761859,0.687660808812457,0.6197419077931849,0.06406816913674096,0.0041047302965340465,TRUE
NY,4324228,7116784,2223397,0.6076098417487449,0.312415973,0.6326149818369378,0.6304831084303374,0.6326155933186277,0.6347067887373414,0.6076098417487449,0.02500514008819288,6.252570308301505e-4,TRUE
MA,1921290,3184196,1188314,0.6033830832021647,0.37319122315334863,0.5824797549815116,0.5782145959419881,0.5824358993292054,0.5867559768377428,0.6033830832021647,0.020903328220653106,4.369491307003525e-4,TRUE
CA,7854285,13038547,4839958,0.6023895914168964,0.371203785,0.6678935015747006,0.666287693791901,0.6679066720118998,0.6695210044324282,0.6023895914168964,0.06550391015780421,0.004290762245961686,TRUE
DE,242584,413890,165484,0.5861074198458528,0.39982604073546113,0.6383791991901796,0.627865312479008,0.63822039074271,0.649542143958204,0.5861074198458528,0.05227177934432681,0.0027323389158219907,FALSE
NJ,2122786,3638499,1478088,0.5834235491063761,0.4062356482714438,0.5957547563804307,0.5928872971749163,0.5957760432291034,0.5984330215145504,0.5834235491063761,0.012331207274054679,1.5205867283569902e-4,TRUE
CT,905083,1558204,634892,0.5808501325885442,0.4074511424691504,0.591529021740116,0.5863523168131825,0.5915571498134442,0.5967989355919204,0.5808501325885442,0.01067888915157178,1.1403867351155745e-4,TRUE
IL,3019512,5242014,2135216,0.5760213536247709,0.407327413,0.6334436968215632,0.6306179830723515,0.6334367771525484,0.6363878813279407,0.5760213536247709,0.05742234319679229,0.0032973254982101977,TRUE
WA,1755396,3125516,1290670,0.5616339829967276,0.4129462143210913,0.5378962385141329,0.5344686199113334,0.53789924271646,0.5414538404859252,0.5616339829967276,0.02373774448259469,5.634805131209547e-4,TRUE
ME,401306,724758,292276,0.5537103419348252,0.40327392039825705,0.4785079189274869,0.46951789691726753,0.478652420936772,0.48681434324973777,0.5537103419348252,0.07520242300733826,0.005655404426174639,TRUE
OR,970488,1789270,754175,0.542393267,0.42149871176513326,0.5086967929567956,0.5041559003887603,0.5087211072650126,0.5131582035889944,0.542393267,0.033696474043204416,0.001135452362944349,TRUE
MI,2564569,4730961,2115256,0.5420820421051875,0.4471091602742022,0.5497361425355847,0.5471141036510088,0.5497235590520311,0.5523110013630098,0.5420820421051875,0.007654100430397159,5.858525339860598e-5,TRUE
NM,415335,783758,335788,0.5299276052046678,0.4284332663909013,0.6138183479352258,0.6078264398739913,0.6137794995723647,0.6197463139379336,0.5299276052046678,0.08389074273055808,0.007037656715884683,TRUE
WI,1620985,3071434,1410966,0.5277616253515459,0.4593834671361976,0.500069417894359,0.4967136600485368,0.5000419035810908,0.50362666575668,0.5277616253515459,0.027692207457186924,7.66858353851879e-4,TRUE
NV,531373,1014918,463567,0.5235624947040056,0.4567531564126363,0.5677345895254138,0.5629896636984,0.5677539517587937,0.572390860140693,0.5235624947040056,0.04417209482140816,0.0019511739609114735,TRUE
PA,2990274,5742040,2680434,0.520768577,0.4668086603367445,0.5029405755828006,0.5008972572254269,0.5029342338457059,0.504955669443379,0.520768577,0.017828001417199424,3.178376345316647e-4,TRUE
IA,822544,1582180,730617,0.5198801653414908,0.46177868510536096,0.45487050511529314,0.450641687339476,0.45485272844770003,0.45934167586137215,0.5198801653414908,0.0650096602261977,0.004226255922725671,TRUE
NH,369561,710972,329918,0.5197968415071198,0.4640379649268888,0.44484106360544834,0.4379563318881699,0.44493680630942434,0.45168752737291057,0.5197968415071198,0.07495577790167146,0.0056183686408447,TRUE
CO,1323101,2569516,1185243,0.5149222655161517,0.4612709163904798,0.5074551773132537,0.5041612390990463,0.507439670633343,0.5109081158846168,0.5149222655161517,0.007467088202897987,5.5757406229858286e-5,TRUE
VA,1971820,3854489,1822522,0.5115645679621864,0.4728310289638912,0.547922055354352,0.5456242936826315,0.5478912641166233,0.5502588325554362,0.5115645679621864,0.0363574873921656,0.0013218668894714805,TRUE
OH,2827621,5580822,2661407,0.5066674765831987,0.47688440878422567,0.4699026253697717,0.467984355058246,0.46993025122711873,0.471794713743106,0.5066674765831987,0.036764851213426986,0.0013516542847454237,TRUE
FL,4237756,8474179,4163447,0.5000786506869869,0.4913097776197553,0.5379825418530328,0.5364988268467232,0.5379809769344447,0.5394293096382327,0.5000786506869869,0.03790389116604598,0.0014367049655274584,TRUE
NC,2178391,4505372,2270395,0.48350968577067555,0.5039306410214295,0.5202028156379938,0.5182067826560025,0.5202187803126823,0.5221652124464744,0.48350968577067555,0.03669312986731821,0.0013463857794598795,TRUE
GA,1773827,3897839,2078688,0.45507959666882086,0.5332924217752452,0.548038309648158,0.5460919287919648,0.5480304876200787,0.5500201709081362,0.45507959666882086,0.09295871297933717,0.008641322318774788,FALSE
AZ,1025232,2299254,1233654,0.44589766941799386,0.536545332,0.4406330600900309,0.4375675355372516,0.44060286273471194,0.4438723913816976,0.44589766941799386,0.005264609327962966,2.771611137607467e-5,TRUE
MO,1223796,2757323,1482440,0.4438348354545333,0.5376374113587709,0.4462605499527455,0.4435922769476816,0.44625743568450554,0.448912408038917,0.4438348354545333,0.002425714498212217,5.884090826836948e-6,TRUE
SC,865941,1964118,1071645,0.4408803340736147,0.5456113125586141,0.4980952762290696,0.49500433038262304,0.49810787316639216,0.5010564754676216,0.4408803340736147,0.05721494215545486,0.0032735496058520458,FALSE
IN,1152887,2624534,1420543,0.439273029040584,0.5412553238022445,0.4442424281723023,0.4416378856707281,0.44425110392665845,0.4468390102729751,0.439273029040584,0.004969399131718288,2.469492773032248e-5,TRUE
MS,562949,1285584,710746,0.4378935954398935,0.5528584674358112,0.525612251398496,0.5218599777072649,0.5256383524832893,0.5295850284426623,0.4378935954398935,0.08771865595860251,0.007694562603183672,TRUE
MT,201839,484048,267928,0.4169813737480581,0.553515354,0.3687607231651452,0.3610926565719445,0.36872156160872943,0.3761599606501614,0.4169813737480581,0.048220650582912916,0.0023252311426393796,TRUE
TX,3308124,7993851,4569843,0.41383358283760857,0.5716697746805639,0.4938113075575619,0.49209357132015913,0.493823082518411,0.4955917489023487,0.41383358283760857,0.07997772471995335,0.006396436451380637,FALSE
AK,122640,300495,164676,0.40812659112464433,0.5480157739729447,0.3310808722477999,0.3172772496124194,0.330954502067963,0.34542328055351845,0.40812659112464433,0.07704571887684442,0.00593604279724974,FALSE
LA,809141,1994065,1152262,0.4057746362330215,0.5778457572847425,0.4771561131889555,0.4732366760374608,0.4771655211092459,0.48087097368038456,0.4057746362330215,0.071381476955934,0.0050953152524105365,FALSE
SD,145039,363815,210610,0.3986614075835246,0.5788931187554114,0.35106264270946536,0.3423894448746056,0.3509875415170034,0.3599187617771265,0.3986614075835246,0.04759876487405923,0.0022656424175359745,FALSE
TN,960709,2458577,1462330,0.39075814993795194,0.5947871471993759,0.401795281909935,0.3986870275272356,0.40180457668436775,0.40494490946340667,0.39075814993795194,0.011037131971983083,1.2181828216697118e-4,FALSE
ND,124966,322932,188320,0.3869731088897973,0.5831568255855722,0.34437670260502595,0.33500121082053763,0.3444393390428674,0.35402149568208496,0.3869731088897973,0.04259640628477135,0.001814453828377308,FALSE
AL,795696,2074338,1255925,0.3835903309875247,0.6054582232982282,0.4307168467361743,0.4266721026433765,0.4307822104256895,0.4345891714571951,0.3835903309875247,0.04712651574864957,0.0022209084866077157,TRUE
NE,302081,794379,475064,0.38027314417928976,0.5980319217904804,0.3431496797048981,0.336634904281366,0.34308885464056116,0.3499400425552226,0.38027314417928976,0.03712346447439163,0.0013781516145814176,FALSE
KS,440726,1159971,692634,0.3799457055391902,0.5971132036921613,0.35785253878027057,0.35280068430835226,0.35780684348779,0.36301324505666765,0.3799457055391902,0.022093166758919647,4.8810801743743204e-4,TRUE
KY,679370,1797212,1087190,0.378013278344458,0.6049314159932162,0.33862962337901537,0.33459292990239403,0.3386342687672186,0.34270192051029147,0.378013278344458,0.03938365496544266,0.0015510722784370364,FALSE
AR,394409,1069468,647744,0.36878990301720105,0.6056693608410911,0.3707981216241521,0.3654706538275636,0.37072043546106526,0.37640107946943085,0.36878990301720105,0.002008218606951051,4.03294197330442e-6,FALSE
WV,238269,670438,417655,0.3553930415638732,0.6229584241943327,0.31805192219819217,0.3117569635613426,0.3180342871179671,0.32423807773364527,0.3553930415638732,0.03734111936568102,0.001394359195482038,FALSE
OK,443547,1334872,891325,0.3322768025698344,0.6677231974301656,0.30764844960568466,0.30173623209753236,0.3075030284526109,0.3137540949548267,0.3322768025698344,0.024628352964149725,6.065557697267426e-4,FALSE
ID,212787,652274,420911,0.3262233355920978,0.6452978349589283,0.27125667474541076,0.2623777119650749,0.27126095999564215,0.2798269199407626,0.3262233355920978,0.054966660846687054,0.0030213338046347197,FALSE
WY,69286,250701,170962,0.2763690611525283,0.6819358518713527,0.2362647377857549,0.22131775153728772,0.23637184070421663,0.25182738548815903,0.2763690611525283,0.04010432336677339,0.001608356752706726,FALSE
UT,251813,1017440,740600,0.2474966582796037,0.727905331,0.2714959505255369,0.2639282886776771,0.27145064888799064,0.27894999608092896,0.2474966582796037,0.023999292245933168,5.759660283057078e-4,FALSE
MN,NA,NA,NA,0.5265,0.4496,0.47433866328774865,0.4710529753145737,0.47437588894920973,0.4776070918409674,0.5265,0.052161336712251316,0.002720805047608857,TRUE
