state_abbr,dem_votes,total_votes,rep_votes,actual_dem,rep_share,predicted_dem,lower_95,median,upper_95,actual_scaled,abs_error,squared_error,exit_poll_conducted
CA,8753788,14181595,4483810,0.6172639960455788,0.3161710653843943,0.6085240491090314,0.6068650711770621,0.6085201471550341,0.6101608224434315,0.6172639960455788,0.00873994693654745,7.638667245366514e-5,TRUE
HI,266891,437664,128847,0.6098079805512905,0.29439707172625573,0.6901700363867439,0.6779187601213009,0.6901853001809314,0.7029169050257349,0.6098079805512905,0.08036205583545342,0.006458060018100532,FALSE
MD,1678006,2781446,943428,0.6032854853195064,0.3391861643188471,0.6362066516673293,0.632350418404957,0.6362392765923992,0.6400692407578003,0.6032854853195064,0.03292116634782283,0.0010838031937010222,FALSE
MA,1995196,3378821,1090893,0.5905006509667129,0.3228620279085515,0.5232894675644012,0.5195473218222859,0.5232166117922713,0.5271047449534091,0.5905006509667129,0.06721118340231169,0.0045173431743391786,FALSE
NY,4379789,7802084,2527142,0.5613614259984896,0.32390602305742927,0.5870995821972648,0.5848714635990384,0.5870899719332253,0.5892434809286453,0.5613614259984896,0.025738156198775175,6.62452684512549e-4,TRUE
IL,3090729,5536424,2146015,0.558253666987933,0.3876175307382527,0.5437489504033166,0.5413546245416895,0.5437601720327837,0.5461097114890907,0.558253666987933,0.014504716584616384,2.1038680320004558e-4,TRUE
VT,178573,320467,95369,0.5572274212321393,0.29759382401308093,0.5062654825271317,0.4870233366094906,0.5059807575580133,0.5260391903523968,0.5572274212321393,0.05096193870500765,0.0025971191965729564,FALSE
NJ,2148278,3874046,1601933,0.554530844496942,0.4135038665002945,0.5662829380661601,0.5634490839741344,0.566286632524321,0.5690707124266675,0.554530844496942,0.011752093569218136,1.3811170325965828e-4,TRUE
CT,897572,1644920,673215,0.5456630109670987,0.40926914378814777,0.522665329243813,0.5181154260328175,0.5226045440529884,0.5271966241629781,0.5456630109670987,0.022997681723285646,5.288933646455466e-4,FALSE
RI,252525,464144,180543,0.5440660657037472,0.3889805749939674,0.5277430451304275,0.5164240029578798,0.5277847814280215,0.5393808617212028,0.5440660657037472,0.01632302057331969,2.664410006370179e-4,FALSE
DE,235603,441590,185127,0.5335333680563419,0.4192282433931928,0.5593686548607312,0.5512681686587403,0.5592291052008851,0.5682887575147632,0.5335333680563419,0.02583528680438929,6.674620442650514e-4,FALSE
WA,1742718,3317019,1221747,0.5253868006182659,0.3683268018663746,0.4793133125504624,0.4762693029232912,0.47933671815597584,0.482429468444974,0.5253868006182659,0.046073488067803536,0.0021227663027340348,TRUE
OR,1002106,2001336,782403,0.5007185200286208,0.3909403518449675,0.4413224319870653,0.4377111910575032,0.4413201362603534,0.44490768142948656,0.5007185200286208,0.05939608804155555,0.003527895274640218,TRUE
VA,1981473,3982752,1769443,0.49751352833417695,0.4442764701392404,0.5093858898638106,0.5074575500154915,0.5093519955955168,0.5113846160520543,0.49751352833417695,0.011872361529633668,1.4095296829032549e-4,TRUE
NM,385234,798319,319667,0.48255647178634103,0.4004251433324272,0.5216171026465549,0.5162549363854249,0.5215767517797687,0.5268158173076356,0.48255647178634103,0.039060630860213885,0.0015257328831978934,TRUE
CO,1338870,2780220,1202484,0.481569803828474,0.4325139737143104,0.45418719965403326,0.451397662105847,0.4541791729991286,0.4569528655247301,0.481569803828474,0.027382604174440717,7.498070113740982e-4,TRUE
NV,539260,1125385,512058,0.4791782367811904,0.4550069531760242,0.5048187635089697,0.5009679787783957,0.5048415251901317,0.50873514613333,0.4791782367811904,0.025640526727779278,6.574366108779635e-4,TRUE
PA,2926441,6115402,2970733,0.4785361616456285,0.4857788580374602,0.4481390249310319,0.4464263441384674,0.448148747631569,0.4498420306842895,0.4785361616456285,0.030397136714596595,9.239859204458763e-4,TRUE
FL,4504975,9420039,4617886,0.4782331580580505,0.49021941416590736,0.5017549169789363,0.5004512055168864,0.5017529596705883,0.5030337233112279,0.4782331580580505,0.02352175892088576,5.532731427322689e-4,TRUE
MI,2268839,4799284,2279543,0.4727453095086684,0.47497564219996147,0.47529544709200616,0.4731987663698421,0.4752919991468297,0.47737792312904886,0.4727453095086684,0.002550137583337775,6.503201693951827e-6,TRUE
NH,348526,744296,345790,0.4682626266969055,0.46458666981953417,0.39318264746345655,0.3878876752558846,0.39321207583595336,0.3984768815796939,0.4682626266969055,0.07507997923344895,0.005637003281695125,TRUE
WI,1382536,2976150,1405284,0.4645384137224266,0.4721818456731012,0.4267051559846996,0.4241204764652968,0.42671318811217934,0.4293492053487796,0.4645384137224266,0.037833257737727,0.0014313553910492798,TRUE
MN,1367705,2944782,1322949,0.4644503396176695,0.4492519310427733,0.4297835245615073,0.42695455245847896,0.429778692836307,0.43258076868028894,0.4644503396176695,0.034666815056162203,0.0012017880661381545,TRUE
ME,357735,771892,335593,0.4634521409730895,0.43476678084498865,0.4076161318475197,0.4008317178418436,0.40760290361556795,0.414353901637775,0.4634521409730895,0.0558360091255698,0.0031176599150707137,TRUE
NC,2189316,4741564,2362631,0.4617286616820947,0.49828094696180414,0.4849983920095446,0.4832888474761669,0.4850021217791045,0.4868478005930271,0.4617286616820947,0.02326973032744989,5.414803495122411e-4,TRUE
GA,1877963,4114732,2089104,0.4563998335736082,0.50771326054771,0.5200235367368655,0.5181372829836288,0.5200091313775004,0.5218663170220689,0.4563998335736082,0.06362370316325733,0.00404797560420628,TRUE
AZ,1161209,2573165,1252401,0.45127654075817136,0.4867161647232105,0.4225697966581393,0.4199082024864538,0.4225540024935396,0.4254334153792429,0.45127654075817136,0.028706744100032044,8.240771568247246e-4,TRUE
OH,2394164,5496487,2841005,0.4355807627672002,0.5168765067578619,0.43301917865250344,0.4313721819036413,0.4330344328162344,0.4347113048588691,0.4355807627672002,0.0025615841146967577,6.561713176666772e-6,TRUE
TX,3877868,8969226,4685047,0.4323525798101196,0.5223468557933538,0.4649616868000785,0.4632625724024923,0.4649431618653867,0.4667272405096838,0.4323525798101196,0.03260910698995889,0.001063353858682586,TRUE
IA,653669,1565580,800983,0.4175251344549624,0.5116206134467737,0.4014688909425419,0.3979096697345249,0.4014829546376485,0.4051645638461307,0.4175251344549624,0.01605624351242052,2.578029557301461e-4,TRUE
SC,855373,2103027,1155389,0.4067341978966509,0.5493933268569543,0.47434349210033105,0.47137404792858906,0.4743703531463456,0.47717445590172947,0.4067341978966509,0.06760929420368017,0.004571016662719781,TRUE
